TokenId,LastSalePrice,Background,BackgroundRarity,Earring,EarringRarity,Fur,FurRarity,Eyes,EyesRarity,Mouth,MouthRarity,Clothes,ClothesRarity,Hat,HatRarity,LastSaleToken,NumberOfSales,SaleDate,USDPrice,LogUSDPrice,Outlier
795,0.15,Blue,0.1242,,,Tan,0.0626,Sunglasses,0.0352,Grin,0.0713,Tanktop,0.0235,Spinner Hat,0.0181,Ether,1.0,2021-05-01 10:04:26.202268,614.2425,6.420389801314536,1
5302,1.0,Blue,0.1242,,,Robot,0.0265,Sunglasses,0.0352,Bored Unshaven,0.1551,Tuxedo Tee,0.0235,Short Mohawk,0.0318,Ether,1.0,2021-05-01 10:06:50.346742,4116.64,8.322792575634239,1
9771,0.24,Army Green,0.1243,,,Cream,0.0636,Crazy,0.0407,Dumbfounded,0.0505,Tuxedo Tee,0.0235,Horns,0.0252,Ether,1.0,2021-05-01 10:06:50.457418,986.4263999999998,6.894088715482253,1
8896,0.18,New Punk Blue,0.1232,,,White,0.0397,Eyepatch,0.0333,Bored Unshaven,0.1551,Black Holes T,0.0205,Bowler,0.0262,Ether,1.0,2021-05-01 10:06:54.036145,739.8197999999999,6.606406643030472,1
8973,0.19,Purple,0.1291,,,White,0.0397,Bored,0.1714,Bored,0.2272,,,Sushi Chef Headband,0.0187,Ether,1.0,2021-05-01 10:10:12.256878,780.9209,6.660473864300748,1
6540,0.18,Army Green,0.1243,,,Cheetah,0.0406,Crazy,0.0407,Bored,0.2272,Prom Dress,0.0103,,,Ether,1.0,2021-05-01 10:13:38.588336,740.9952000000001,6.607994147542313,1
7006,0.5,Orange,0.1273,Silver Stud,0.0823,Robot,0.0265,Robot,0.035,Bored Unshaven,0.1551,Toga,0.0202,Halo,0.0324,Ether,1.0,2021-05-01 10:15:36.104172,2058.32,7.629645395074294,1
6115,0.12,New Punk Blue,0.1232,,,Blue,0.049,Bored,0.1714,Phoneme  ooo,0.0255,,,Girl's Hair Short,0.015,Ether,1.0,2021-05-01 10:17:20.502291,493.9968,6.202529039434149,1
6392,0.25,Gray,0.117,,,Gray,0.0496,Bored,0.1714,Bored Cigarette,0.071,,,Faux Hawk,0.0136,Ether,1.0,2021-05-01 10:19:17.095355,1029.16,6.936498214514349,1
29,0.129,Blue,0.1242,,,Tan,0.0626,Robot,0.035,Bored Unshaven,0.1551,,,,,Wrapped Ether,1.0,2021-05-01 10:19:17.365153,521.62053,6.256940369500449,1
